step,sample,layer,op,in_shape,out_shape,in_level,in_noise,in_deg2,in_slots,out_level,out_noise,out_deg2,out_slots,pooled_mb,in_use_mb,driver_free_mb,elapsed_ms
0,0,0,dropLevel_tokens,1x1,1x1,4,1,0,16384,4,1,0,16384,11293,10997.2,20720.5,0
1,0,0,PCMM_K,1x1,1x1,4,1,0,16384,1,1,0,16384,12317,11539.8,19688.5,20
2,0,0,PCMM_Q,1x1,1x1,4,1,0,16384,1,1,0,16384,12317,11552.8,19688.5,12
3,0,0,PCMM_V,1x1,1x1,4,1,0,16384,1,1,0,16384,12317,11565.8,19688.5,12
4,0,0,Boot_Q,1x1,1x1,9,2,0,16384,9,2,0,16384,12317,12048.9,19686.5,526
5,0,0,Boot_K,1x1,1x1,9,2,0,16384,9,2,0,16384,12317,12085.9,19686.5,13
6,0,0,Boot_V,1x1,1x1,9,2,0,16384,9,2,0,16384,12317,12106.9,19686.5,13
7,0,0,CCMM_QKT1,1x1,1x1,5,2,0,16384,2,2,0,16384,13341,12461.4,18662.5,21
8,0,0,CCMM_QKT2,1x1,1x1,5,2,0,16384,2,2,0,16384,13341,12631.4,18662.5,19
9,0,0,Boot_QKT1_pre_softmax,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,12753,18662.5,13
10,0,0,Softmax_QKT1,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,12784,18662.5,319
11,0,0,Boot_QKT2_pre_softmax,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,12793,18662.5,13
12,0,0,Softmax_QKT2,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,12786,18662.5,316
13,0,0,CCMM_Sm_V1,1x1,1x1,5,2,0,16384,2,2,0,16384,13341,12814,18662.5,17
14,0,0,CCMM_Sm_V2,1x1,1x1,5,2,0,16384,2,2,0,16384,13341,12837,18662.5,17
15,0,0,Boot_Sm_V,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,12906.5,18662.5,13
16,0,0,PCMM_Output,1x1,1x1,4,1,0,16384,1,1,0,16384,13341,12906.5,18662.5,11
17,0,0,Residual_Add1,1x1,1x1,1,1,0,16384,1,1,0,16384,13341,12906.5,18662.5,0
18,0,0,Boot_Residual1,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,13064.5,18662.5,14
19,0,0,LayerNorm1,1x1,1x1,2,2,0,16384,2,2,0,16384,13341,13049.5,18662.5,55
20,0,0,Boot_LN1,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,13065.5,18662.5,14
21,0,0,PCMM_Up,1x1,1x4,4,1,0,16384,1,1,0,16384,13341,13065.5,18662.5,79
22,0,0,Boot_pre_GELU,1x4,1x4,9,2,0,16384,9,2,0,16384,13341,13129.5,18662.5,72
23,0,0,GELU,1x4,1x4,9,2,0,16384,9,2,0,16384,13341,13129.5,18662.5,169
24,0,0,PCMM_Down,1x4,1x1,4,1,0,16384,1,1,0,16384,13341,13129.5,18662.5,60
25,0,0,Residual_Add2,1x1,1x1,1,1,0,16384,1,1,0,16384,13341,13129.5,18662.5,0
26,0,0,Boot_pre_LN2,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,13170.5,18662.5,12
27,0,0,LayerNorm2,1x1,1x1,2,2,0,16384,2,2,0,16384,13341,13155.5,18662.5,50
28,0,0,Boot_LN2_final,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,13171.5,18662.5,13
29,0,1,dropLevel_tokens,1x1,1x1,4,1,0,16384,4,1,0,16384,13341,13164.5,18662.5,0
30,0,1,PCMM_K,1x1,1x1,4,1,0,16384,1,1,0,16384,13341,13164.5,18662.5,12
31,0,1,PCMM_Q,1x1,1x1,4,1,0,16384,1,1,0,16384,13341,13164.5,18662.5,11
32,0,1,PCMM_V,1x1,1x1,4,1,0,16384,1,1,0,16384,13341,13164.5,18662.5,11
33,0,1,Boot_Q,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,13164.5,18662.5,12
34,0,1,Boot_K,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,13164.5,18662.5,12
35,0,1,Boot_V,1x1,1x1,9,2,0,16384,9,2,0,16384,13341,13165.5,18662.5,12
